id;mmsi;imo;vessel_name;callsign;vessel_type;vessel_type_code;vessel_type_cargo;vessel_class;length;width;flag_country;flag_code;destination;eta;draught;longitude;latitude;sog;cog;rot;heading;nav_status;nav_status_code;source;ts_pos_utc;ts_static_utc;ts_eta;ts_insert_utc;registry_name;registry_name_en;vessel_type_main;vessel_type_sub;message_type
773751726;309224000;8802868;SEA SPIRIT;C6PJ8;Passenger;60;;A;91;16;Azores;309;FRANZ JOSEPH LAND;08161800;4.30000019073486;17.5;76.3916666666667;12;86;0;0;Under Way Using Engine;0;S-AIS;15.08.2019 05:09:41;15.08.2019 03:37:54;16.08.2019 18:00:00;15.08.2019 05:09:53;;SEA SPIRIT;Passenger Ship;Cruise Ship;27
773716892;273316240;9152959;50 LET POBEDY;UGYU;Passenger;69;No Additional Information;A;160;30;Russian Federation;273;MURMANSK;08220400;10.8000001907349;47.0529;78.5717333333333;17;22.2999992370605;0;21;Under Way Using Engine;0;S-AIS;15.08.2019 04:49:30;15.08.2019 04:10:04;22.08.2019 04:00:00;15.08.2019 04:49:43;50 ЛЕТ ПОБЕДЫ;50 LET POBEDY;Service Ship;Icebreaker;1
773789412;273316240;9152959;50 LET POBEDY;UGYU;Passenger;69;No Additional Information;A;160;30;Russian Federation;273;MURMANSK;08220400;10.8000001907349;47.43345;78.7526166666667;17;22.7000007629395;0;20;Under Way Using Engine;0;S-AIS;15.08.2019 05:29:18;15.08.2019 04:10:04;22.08.2019 04:00:00;15.08.2019 05:29:44;50 ЛЕТ ПОБЕДЫ;50 LET POBEDY;Service Ship;Icebreaker;1
773795159;309224000;8802868;SEA SPIRIT;C6PJ8;Passenger;60;;A;91;16;Azores;309;FRANZ JOSEPH LAND;08161800;4.30000019073486;17.7683333333333;76.3883333333333;12;98;0;0;Under Way Using Engine;0;S-AIS;15.08.2019 05:27:41;15.08.2019 03:37:54;16.08.2019 18:00:00;15.08.2019 05:28:14;;SEA SPIRIT;Passenger Ship;Cruise Ship;27
773825232;273316240;9152959;50 LET POBEDY;UGYU;Passenger;69;No Additional Information;A;160;30;Russian Federation;273;MURMANSK;08220400;10.8000001907349;47.6260333333333;78.8442333333333;17;23.1000003814697;0;21;Under Way Using Engine;0;S-AIS;15.08.2019 05:49:18;15.08.2019 05:46:00;22.08.2019 04:00:00;15.08.2019 05:49:41;50 ЛЕТ ПОБЕДЫ;50 LET POBEDY;Service Ship;Icebreaker;1
773827416;309224000;8802868;SEA SPIRIT;C6PJ8;Passenger;60;;A;91;16;Azores;309;FRANZ JOSEPH LAND;08161800;4.30000019073486;18.0816666666667;76.395;12;81;0;0;Under Way Using Engine;0;S-AIS;15.08.2019 05:48:39;15.08.2019 03:37:54;16.08.2019 18:00:00;15.08.2019 05:48:58;;SEA SPIRIT;Passenger Ship;Cruise Ship;27
773864993;309224000;8802868;SEA SPIRIT;C6PJ8;Passenger;60;;A;91;16;Azores;309;FRANZ JOSEPH LAND;08161800;4.30000019073486;18.26;76.4016666666667;12;81;0;0;Under Way Using Engine;0;S-AIS;15.08.2019 06:00:41;15.08.2019 03:37:54;16.08.2019 18:00:00;15.08.2019 06:00:55;;SEA SPIRIT;Passenger Ship;Cruise Ship;27
773878193;273316240;9152959;50 LET POBEDY;UGYU;Passenger;69;No Additional Information;A;160;30;Russian Federation;273;MURMANSK;08220400;10.8000001907349;47.6904666666667;78.8734833333333;17;22.7000007629395;0;21;Under Way Using Engine;0;S-AIS;15.08.2019 05:55:49;15.08.2019 05:46:00;22.08.2019 04:00:00;15.08.2019 05:56:07;50 ЛЕТ ПОБЕДЫ;50 LET POBEDY;Service Ship;Icebreaker;1
773897406;309224000;8802868;SEA SPIRIT;C6PJ8;Passenger;60;;A;91;16;Azores;309;FRANZ JOSEPH LAND;08161800;4.30000019073486;18.3933333333333;76.4066666666667;12;81;0;0;Under Way Using Engine;0;S-AIS;15.08.2019 06:09:38;15.08.2019 03:37:54;16.08.2019 18:00:00;15.08.2019 06:09:56;;SEA SPIRIT;Passenger Ship;Cruise Ship;27
773898218;273316240;9152959;50 LET POBEDY;UGYU;Passenger;69;No Additional Information;A;160;30;Russian Federation;273;MURMANSK;08220400;10.8000001907349;47.8214166666667;78.93485;17;22.5;0;21;Under Way Using Engine;0;S-AIS;15.08.2019 06:09:24;15.08.2019 05:46:00;22.08.2019 04:00:00;15.08.2019 06:09:34;50 ЛЕТ ПОБЕДЫ;50 LET POBEDY;Service Ship;Icebreaker;1
